name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;401;0;470;3071;1827;3071;1550;0
header;171;175;171;209;1826;209;1826;175
A;977;241;977;269;1000;269;1000;241
A;1214;893;1214;909;1223;909;1223;893
B;976;922;976;949;997;949;997;922
B;558;983;558;1000;567;1000;567;983
A;491;1029;491;1045;500;1045;500;1029
B;1492;1029;1492;1045;1501;1045;1501;1029
B;1263;1076;1263;1095;1278;1095;1278;1076
B;547;1122;547;1138;557;1138;557;1122
C;970;1601;970;1631;992;1631;992;1601
D;945;1764;945;1781;954;1781;954;1764
A;801;2042;801;2058;809;2058;809;2042
A;1639;2182;1639;2198;1649;2198;1649;2182
B;1441;2227;1441;2243;1451;2243;1451;2227
D;971;2273;971;2301;994;2301;994;2273
B;1205;2316;1205;2335;1213;2335;1213;2316
D;833;2498;833;2514;842;2514;842;2498
B;1463;2546;1463;2565;1479;2565;1479;2546
B;1097;2549;1097;2565;1107;2565;1107;2549
B;745;2775;745;2793;760;2793;760;2775
