name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;787;0;810;3071;1391;3071;1299;0
header;56;184;56;215;1685;215;1685;184
A;860;250;860;278;882;278;882;250
B;1182;439;1182;456;1191;456;1191;439
A;856;627;856;629;858;629;858;627
B;861;932;861;959;883;959;883;932
B;897;1179;897;1199;913;1199;913;1179
A;1086;1496;1086;1496;1086;1496;1086;1496
C;861;1603;861;1632;883;1632;883;1603
A;1198;1885;1198;1897;1205;1897;1205;1885
D;868;2277;868;2304;891;2304;891;2277
B;1181;2381;1181;2397;1191;2397;1191;2381
A;1217;2701;1217;2718;1226;2718;1226;2701
